"","X390","X406","X409","X412","X415","X417","X429","X438","X441","X452","X464","X489","X493","X495","X496","X500","X504","X513","X515","X516","X518","X525","X550","X553","X555","X556","X558","X564","X574","X600","X606","X607","X608","X628","X632","X641","X652","X655","X659","X669","X683","X687","X691","X693","X707","X717","X721","X722","X728","X745","X760","X773","X778","X781","X786","X788","X792","X801","X821","X825","X830","X837","X867","X879","X881","X882","X885","X886","X889","X904","X906","X909","X917","X921","X932","X937","X944","X952","X955","X962","X968","X970","X972","X981","X991","X992","X993","X1010","X1014","X1015","X1025","X1030","X1032","X1041","X1046","X1048","X1061","X1069","X1071","X1073","X1082","X1084","X1095","X1097","X1102","X1116","X1118","X1121","X1125","X1144","X1154","X1158","X1161","X1165","X1182","X1225","X1236","X1237","X1240","X1251","X1272","X1289","X1291","X1293","X1296","X1306","X1310","X1311","X1317","X1322","X1351","X1356","X1359","X1368","X1378","X1379","X1382","X1392","X1405","X1430","X1438","X1447","X1455","X1477","X1485","X1489","X1560","X1561","X1562","X1563","X1568","X1570","X1573","X1577","X1584","X1585","X1625","X1628","X1638","X1639","X1645","X1647","X1663","X1665","X1675","X1693","X1696","X1703","X1704","X1705","X1708","X1709","X1721","X1725","X1748","X1769","X1771","X1774","X1779","X1780","X1794","X1798","X1803","X1804","X1825","X1835","X1836","X1840","X1842","X1850","X1859","X1863","X1866","X1869","X1870","X1871","X1891","X1905","X1917","X1920","X1921","X1960","X1967","X2038","X2110","X2120","X2121","X2128","X2129","X2143","X2163","X2186","X2225","X2237","X2251","X2288","X2304","X2633","X2635","X2637","X2638","X2643","X2929","X2967","X2981","X2991","X3016","X3026","X3027","X3033","X3043","X3044","X3068","X3078","X3079","X3212","X3230","X3232","X3240","X3241","X3244","X3252","X3271","X3273","X3282","X3283","X3284","X3286","X3290","X3293","X3302","X3304","X3390","X3402","X3403","X3405","X3410","X3411","X3413","X3427","X3443","X3542","X3566","X3584","X3651","X3696","X3738","X3751","X3755","X3762","X3777","X3790","X3796","X3813","X3839","X3884","X3897","X3941","X3983","X3985","X4005","X4088","X4090","X4127","X4129","X4148","X4188","X4194","X4200","X4202","X4210","X4232","X4245","X4247","X4249","X4251","X4253","X4259","X4282","X4341","X4351","X4368","X4381","X4383","X4385","X4387","X4389","X4394","X4419","X4443","X4468","X4469","X4496","X4517","X4530","X4532","X4547","X4554","X4556","X4559","X4637","X4672","X4682","X4685","X4687","X4702","X4704","X4826","X4828","X4837","X4858","X4859","X4882","X4886","X4891","X4900","X4974","X4982","X4984","X4993","X5244","X5436","X5458","X5492","X5505","X5623","X5690","X5703","X5722","X5814","X5817","X5819","X5820","X5978","X5981","X5995","X5997","X6013","X6029","X6030","X6035","X6050","X6051","X6070","X6075","X6084","X6118","X6140","X6143","X6144","X6215","X6233","X6260","X6277","X6279","X6280","X6289","X6309","X6310","X6343","X6355","X6356","X6357","X6359","X6382","X6383","X6384","X6625","X6644","X6646","X6647","X6793","X6809","X6814","X6815","X6825","X6828","X6845","X6859","X6863","X6874","X6877","X6878","X6922","X7037","X7056","X7059","X7061","X7452","X7538","X7951","X8369","X8374","X8380","X8433","X8459","X8667","X8776","X8784","X8785","X8886","X8966","X8967","X8969","X8973","X8983","X8994","X9043","X9112","X9219","X9221","X9227","X9240","X9241","X9244","X9250","X9251","X9252","X9259","X9260","X9261","X9262","X9265","X9267","X9269","X9308","X9361","X9363","X9475","X9484","X9515","X9519","X9520","X9537","X9548","X9591","X9597","X9634","X9650","X9698","X9699","X9700","X9702","X9703","X9704","X9858","X9881","X9895","X10059","X10065","X10084","X10150","X10197","X10299","X10343","X10351","X10577","X10585"
"1",10,1,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,4,1,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,0,2,1,0,4,0,0,1,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",10,1,1,5,4,9,8,3,2,2,17,0,1,10,2,0,0,1,2,0,0,6,3,0,0,0,0,2,9,0,0,2,12,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,217,1,1,0,1,3,0,4,0,1,0,0,0,0,0,0,1,1,0,3,0,4,2,2,1,1,4,0,1,1,3,0,0,0,0,0,0,0,1,6,2,3,0,5,1,1,0,1,6,1,0,1,1,2,0,0,0,5,2,1,0,6,0,0,0,0,0,2,1,7,1,0,0,0,0,0,0,3,1,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,2,14,1,1,2,0,1,0,0,1,1,0,14,0,0,0,0,0,0,1,0,1,0,9,1,4,1,2,3,4,0,3,5,1,1,1,1,0,0,0,0,0,5,0,0,3,1,1,7,2,3,5,5,6,8,3,6,3,0,3,2,2,1,6,3,3,1,33,2,2,2,1,1,3,0,1,0,1,4,1,1,1,0,0,0,1,1,1,1,12,13,1,8,5,2,0,5,0,1,0,10,5,15,5,6,0,24,3,37,0,3,4,8,5,12,37,2,13,25,5,0,3,0,0,3,1,7,0,6,1,6,1,4,1,1,1,1,1,2,24,0,1,4,1,1,1,1,1,2,10,7,4,6,3,4,0,3,1,1,2,2,1,3,3,1,1,0,0,2,2,2,1,0,1,3,2,1,5,1,26,3,6,5,26,5,23,1,5,3,1,1,24,0,1,4,1,1,3,18,1,1,1,1,1,4,13,1,14,0,1,2,2,1,6,1,0,1,7,1,1,1,1,1,1,1,1,1,1,11,4,1,0,3,2,1,1,0,0,3,1,2,0,0,0,7,6,1,1,4,1,0,0,0,0,0,0,5,0,19,1,1,0,0,0,0,0,4,2,0,5,5,1,2,3,1,2,1,1,1,1,1,1,1,2,0,1,3,0,19,0,1,3,3,2,0,3,2,1,2,0,0,0,0,0,0,0,15,2,0,1,2,0,0,1,1,1,3,0,0
"3",10,1,0,5,0,9,8,3,2,2,17,3,1,10,2,0,5,1,2,0,0,6,3,3,0,1,2,2,9,4,1,2,12,0,0,0,1,3,3,0,0,12,1,2,3,0,0,0,0,3,5,0,3,217,0,1,0,1,3,0,4,0,1,0,0,0,0,0,0,1,1,2,3,1,4,2,2,1,1,4,1,1,1,3,10,1,1,0,0,0,1,1,6,2,3,0,0,0,0,4,1,6,1,0,1,1,2,0,0,0,0,2,1,0,6,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,10,1,2,14,1,0,2,0,1,0,0,1,1,1,14,0,0,0,0,0,0,0,1,0,0,9,1,4,1,0,0,4,5,3,5,0,1,1,1,0,0,0,0,0,5,2,8,3,1,1,7,2,0,5,0,6,8,0,0,3,0,3,2,0,1,6,3,3,1,0,0,0,2,1,1,0,0,0,0,1,4,1,1,0,7,0,0,1,1,1,0,12,13,1,8,5,2,1,5,1,1,0,10,5,15,0,0,0,24,3,37,0,3,4,8,5,12,37,2,13,25,5,3,3,0,0,3,1,7,1,6,1,6,1,0,1,1,1,1,1,2,24,0,1,4,1,1,1,1,1,2,10,7,4,6,0,0,0,3,1,1,2,2,1,0,0,1,1,1,0,2,2,0,1,0,1,3,2,0,5,1,26,3,0,0,0,5,23,1,5,3,1,0,0,0,0,4,1,0,0,0,1,1,1,0,0,4,13,1,14,1,0,0,0,0,6,0,0,1,7,1,1,1,0,1,1,1,1,1,1,11,4,1,1,3,2,1,1,0,0,3,1,2,0,0,0,7,6,1,1,4,0,0,0,0,0,0,0,5,0,19,1,1,14,0,0,0,34,4,2,2,5,5,1,2,3,1,2,1,1,1,1,1,0,1,2,1,1,3,0,19,0,1,3,0,2,3,3,2,1,2,0,0,0,0,0,0,0,15,0,0,1,2,0,0,1,1,1,3,0,0
"4",10,1,0,5,0,9,8,3,2,2,17,3,1,10,2,0,5,1,2,0,0,6,3,3,0,1,2,2,9,4,1,2,12,0,0,0,1,3,3,0,0,12,1,2,3,0,0,0,0,3,5,0,3,217,0,1,0,1,3,0,4,0,1,0,0,0,0,0,0,1,1,2,3,1,4,2,2,1,1,4,1,1,1,3,10,1,1,0,0,0,1,1,6,2,3,0,0,0,0,4,1,6,1,0,1,1,2,0,0,0,0,2,1,0,6,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,10,1,2,14,1,0,2,0,1,0,0,1,1,1,14,0,0,0,0,0,0,0,1,0,0,9,1,4,1,0,0,4,5,3,5,0,1,1,1,0,0,0,0,0,5,2,8,3,1,1,7,2,0,5,0,6,8,0,0,3,0,3,2,0,1,6,3,3,1,0,0,0,2,1,1,0,0,0,0,1,4,1,1,0,7,0,0,1,1,1,0,12,13,1,8,5,2,1,5,1,1,0,10,5,15,0,0,0,24,3,37,0,3,4,8,5,12,37,2,13,25,5,3,3,0,0,3,1,7,1,6,1,6,1,0,1,1,1,1,1,2,24,0,1,4,1,1,1,1,1,2,10,7,4,6,0,0,0,3,1,1,2,2,1,0,0,1,1,1,0,2,2,0,1,0,1,3,2,0,5,1,26,3,0,0,0,5,23,1,5,3,1,0,0,0,0,4,1,0,0,0,1,1,1,0,0,4,13,1,14,1,0,0,0,0,6,0,0,1,7,1,1,1,0,1,1,1,1,1,1,11,4,1,1,3,2,1,1,0,0,3,1,2,0,0,0,7,6,1,1,4,0,0,0,0,0,0,0,5,0,19,1,1,14,0,0,0,34,4,2,2,5,5,1,2,3,1,2,1,1,1,1,1,0,1,2,1,1,3,0,19,0,1,3,0,2,3,3,2,1,2,0,0,0,0,0,0,0,15,0,0,1,2,0,0,1,1,1,3,0,0
"5",10,1,0,5,0,9,8,3,2,2,17,3,1,10,2,0,5,1,2,0,0,6,3,3,0,1,2,2,9,4,1,2,12,0,0,0,1,3,3,0,0,12,1,2,3,0,0,0,0,3,5,0,3,217,0,1,0,1,3,0,4,0,1,0,0,0,0,0,0,1,1,2,3,1,4,2,2,1,1,4,1,1,1,3,10,1,1,0,0,0,1,1,6,2,3,0,0,0,0,4,1,6,1,0,1,1,2,0,0,0,0,2,1,0,6,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,10,1,2,14,1,0,2,0,1,0,0,1,1,1,14,0,0,0,0,0,0,0,1,0,0,9,1,4,1,0,0,4,5,3,5,0,1,1,1,0,0,0,0,0,5,2,8,3,1,1,7,2,0,5,0,6,8,0,0,3,0,3,2,0,1,6,3,3,1,0,0,0,2,1,1,0,0,0,0,1,4,1,1,0,7,0,0,1,1,1,0,12,13,1,8,5,2,1,5,1,1,0,10,5,15,0,0,0,24,3,37,0,3,4,8,5,12,37,2,13,25,5,3,3,0,0,3,1,7,1,6,1,6,1,0,1,1,1,1,1,2,24,0,1,4,1,1,1,1,1,2,10,7,4,6,0,0,0,3,1,1,2,2,1,0,0,1,1,1,0,2,2,0,1,0,1,3,2,0,5,1,26,3,0,0,0,5,23,1,5,3,1,0,0,0,0,4,1,0,0,0,1,1,1,0,0,4,13,1,14,1,0,0,0,0,6,0,0,1,7,1,1,1,0,1,1,1,1,1,1,11,4,1,1,3,2,1,1,0,0,3,1,2,0,0,0,7,6,1,1,4,0,0,0,0,0,0,0,5,0,19,1,1,14,0,0,0,34,4,2,2,5,5,1,2,3,1,2,1,1,1,1,1,0,1,2,1,1,3,0,19,0,1,3,0,2,3,3,2,1,2,0,0,0,0,0,0,0,15,0,0,1,2,0,0,1,1,1,3,0,0
"6",10,1,0,5,0,9,8,3,2,2,17,3,1,10,2,0,5,1,2,0,0,6,3,3,0,1,2,2,9,4,1,2,12,0,0,0,1,3,3,0,0,12,1,2,3,0,0,0,0,3,5,0,3,217,0,1,0,1,3,0,4,0,1,0,0,0,0,0,0,1,1,2,3,1,4,2,2,1,1,4,1,1,1,3,10,1,1,0,0,0,1,1,6,2,3,0,0,0,0,4,1,6,1,0,1,1,2,0,0,0,0,2,1,0,6,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,10,1,2,14,1,0,2,0,1,0,0,1,1,1,14,0,0,0,0,0,0,0,1,0,0,9,1,4,1,0,0,4,5,3,5,0,1,1,1,0,0,0,0,0,5,2,8,3,1,1,7,2,0,5,0,6,8,0,0,3,0,3,2,0,1,6,3,3,1,0,0,0,2,1,1,0,0,0,0,1,4,1,1,0,7,0,0,1,1,1,0,12,13,1,8,5,2,1,5,1,1,0,10,5,15,0,0,0,24,3,37,0,3,4,8,5,12,37,2,13,25,5,3,3,0,0,3,1,7,1,6,1,6,1,0,1,1,1,1,1,2,24,0,1,4,1,1,1,1,1,2,10,7,4,6,0,0,0,3,1,1,2,2,1,0,0,1,1,1,0,2,2,0,1,0,1,3,2,0,5,1,26,3,0,0,0,5,23,1,5,3,1,0,0,0,0,4,1,0,0,0,1,1,1,0,0,4,13,1,14,1,0,0,0,0,6,0,0,1,7,1,1,1,0,1,1,1,1,1,1,11,4,1,1,3,2,1,1,0,0,3,1,2,0,0,0,7,6,1,1,4,0,0,0,0,0,0,0,5,0,19,1,1,14,0,0,0,34,4,2,2,5,5,1,2,3,1,2,1,1,1,1,1,0,1,2,1,1,3,0,19,0,1,3,0,2,3,3,2,1,2,0,0,0,0,0,0,0,15,0,0,1,2,0,0,1,1,1,3,0,0
"7",10,1,0,5,0,9,8,3,2,2,17,3,1,10,2,0,5,1,2,0,0,6,3,3,0,1,2,2,9,4,1,2,12,0,0,0,1,3,3,0,0,12,1,2,3,0,0,0,0,3,5,0,3,217,0,1,0,1,3,0,4,0,1,0,0,0,0,0,0,1,1,2,3,1,4,2,2,1,1,4,1,1,1,3,10,1,1,0,0,0,1,1,6,2,3,0,0,0,0,4,1,6,1,0,1,1,2,0,0,0,0,2,1,0,6,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,10,1,2,14,1,0,2,0,1,0,0,1,1,1,14,0,0,0,0,0,0,0,1,0,0,9,1,4,1,0,0,4,5,3,5,0,1,1,1,0,0,0,0,0,5,2,8,3,1,1,7,2,0,5,0,6,8,0,0,3,0,3,2,0,1,6,3,3,1,0,0,0,2,1,1,0,0,0,0,1,4,1,1,0,7,0,0,1,1,1,0,12,13,1,8,5,2,1,5,1,1,0,10,5,15,0,0,0,24,3,37,0,3,4,8,5,12,37,2,13,25,5,3,3,0,0,3,1,7,1,6,1,6,1,0,1,1,1,1,1,2,24,0,1,4,1,1,1,1,1,2,10,7,4,6,0,0,0,3,1,1,2,2,1,0,0,1,1,1,0,2,2,0,1,0,1,3,2,0,5,1,26,3,0,0,0,5,23,1,5,3,1,0,0,0,0,4,1,0,0,0,1,1,1,0,0,4,13,1,14,1,0,0,0,0,6,0,0,1,7,1,1,1,0,1,1,1,1,1,1,11,4,1,1,3,2,1,1,0,0,3,1,2,0,0,0,7,6,1,1,4,0,0,0,0,0,0,0,5,0,19,1,1,14,0,0,0,34,4,2,2,5,5,1,2,3,1,2,1,1,1,1,1,0,1,2,1,1,3,0,19,0,1,3,0,2,3,3,2,1,2,0,0,0,0,0,0,0,15,0,0,1,2,0,0,1,1,1,3,0,0
"8",10,1,1,5,0,9,8,3,2,2,17,3,1,10,2,0,5,1,2,0,0,6,3,3,1,1,2,2,9,4,1,2,12,2,0,1,1,3,3,0,0,12,1,2,3,0,0,0,0,3,5,0,3,217,0,1,0,1,3,0,4,0,1,0,0,0,0,0,0,1,1,2,3,0,4,2,2,1,1,0,1,1,1,3,10,1,1,0,0,0,1,1,6,2,3,0,0,0,0,4,1,6,1,0,1,1,2,0,0,0,0,2,1,0,6,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,10,1,2,14,1,0,2,0,1,0,0,1,1,1,14,0,0,0,0,0,0,0,1,0,0,9,1,4,1,0,0,4,5,3,5,0,1,1,1,0,0,0,0,0,5,2,8,3,1,1,7,2,0,5,0,6,8,0,0,3,0,3,2,0,1,6,3,3,1,0,0,0,2,1,1,0,0,0,0,1,4,1,1,0,7,0,0,1,1,1,0,12,13,1,8,5,2,1,5,1,1,0,10,5,15,0,0,0,24,3,37,0,3,4,8,5,12,37,2,13,25,5,3,3,0,0,3,1,7,1,6,1,6,1,0,1,1,1,1,1,2,24,0,1,4,1,1,1,1,1,2,10,7,4,6,0,0,0,3,1,1,2,2,1,0,0,1,1,1,0,2,2,0,1,0,1,3,2,0,5,1,26,3,0,0,0,5,23,1,5,3,1,0,0,0,0,4,1,0,0,0,1,1,1,0,0,4,13,1,14,1,0,0,0,0,6,0,0,1,7,1,1,1,0,1,1,1,1,1,1,11,4,1,1,3,2,1,1,0,0,3,1,2,0,0,0,7,6,1,1,4,0,0,0,0,0,0,0,5,0,19,1,1,14,0,0,0,34,4,2,2,5,5,1,2,3,1,2,1,1,1,1,1,0,1,2,1,1,3,0,19,0,1,3,0,2,3,3,2,1,2,0,0,0,0,0,0,0,15,0,0,1,2,0,0,1,1,1,3,0,0
"9",10,1,1,5,0,9,8,3,2,2,17,3,1,10,2,0,5,1,2,0,0,6,3,3,1,1,2,2,0,4,1,2,12,2,0,1,1,3,3,0,0,12,1,2,3,0,0,0,0,3,5,0,3,217,0,1,0,1,3,0,4,0,1,0,0,0,0,0,0,1,1,2,3,1,4,2,2,1,1,0,0,1,1,3,0,0,0,0,0,0,0,1,6,2,3,0,0,0,0,4,1,6,1,0,1,1,2,0,0,0,0,2,1,0,6,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,10,1,2,14,1,0,2,0,1,0,0,1,1,1,14,0,0,0,0,0,0,0,1,0,0,9,1,4,1,0,0,4,5,3,5,0,1,1,1,0,0,0,0,0,5,2,8,3,1,0,7,0,0,5,0,6,8,0,0,3,0,3,2,0,1,6,3,3,1,0,0,0,2,1,1,0,0,0,0,1,4,1,1,0,7,0,0,1,1,1,0,12,13,1,8,5,2,1,5,1,1,0,10,5,15,0,0,0,24,3,37,0,3,4,8,5,12,37,2,13,25,5,3,3,0,0,3,1,7,1,6,1,6,1,0,1,1,1,1,1,2,24,0,1,4,1,1,1,1,1,2,10,7,4,6,0,0,0,3,1,1,2,2,1,0,0,1,1,1,0,2,2,0,1,0,1,3,2,0,5,1,26,3,0,0,0,5,23,1,5,3,1,0,0,0,0,4,1,0,0,0,1,1,1,0,0,4,13,1,14,1,0,0,0,0,6,0,0,1,7,1,1,1,0,1,1,1,1,1,1,11,4,1,1,3,2,1,1,0,0,3,1,2,0,0,0,7,6,1,1,4,0,0,0,0,0,0,0,5,0,19,1,1,14,0,0,0,34,4,2,2,5,5,1,2,3,1,2,1,1,1,1,1,0,1,2,1,1,3,0,19,0,1,3,0,2,3,3,2,1,2,0,0,0,0,0,0,0,15,0,0,1,2,0,0,1,1,1,3,0,0
"10",10,1,1,5,0,9,8,3,2,2,17,3,1,10,2,0,5,1,2,0,0,6,3,3,1,1,2,2,9,4,1,2,12,2,0,1,1,3,0,0,0,12,1,2,3,0,0,0,0,3,5,0,3,217,0,1,0,1,3,0,4,0,1,0,0,0,0,0,0,1,1,2,3,1,4,0,2,1,1,4,1,1,1,3,10,1,1,0,0,0,1,1,6,2,3,0,0,0,0,4,1,6,1,0,1,1,2,0,0,0,0,2,1,0,6,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,10,1,2,14,1,0,2,0,1,0,0,1,1,1,14,0,0,0,0,0,0,0,1,0,0,9,1,4,1,0,0,4,5,3,5,0,1,1,1,0,0,0,0,0,5,2,8,3,1,1,7,2,0,5,0,6,8,0,0,3,0,3,2,0,1,6,3,3,1,0,0,0,2,1,1,0,0,0,0,1,4,1,1,0,7,0,0,1,1,1,0,12,13,1,8,5,2,1,5,1,1,0,10,5,15,0,0,0,24,3,37,0,3,4,8,5,12,37,2,13,25,5,3,3,0,0,3,1,7,1,6,1,6,1,0,1,1,1,1,1,2,24,0,1,4,1,1,1,1,1,2,10,7,4,6,0,0,0,3,1,1,2,2,1,0,0,1,1,1,0,2,2,0,1,0,1,3,2,0,5,1,26,3,0,0,0,5,23,1,5,3,1,0,0,0,0,4,1,0,0,0,1,1,1,0,0,4,13,1,14,1,0,0,0,0,6,0,0,1,7,1,1,1,0,1,1,1,1,1,1,11,4,1,1,3,2,1,1,0,0,3,1,2,0,0,0,7,6,1,1,4,0,0,0,0,0,0,0,5,0,19,1,1,14,0,0,0,34,4,2,2,5,5,1,2,3,1,2,1,1,1,1,1,0,1,2,1,1,3,0,19,0,1,3,0,2,3,3,2,1,2,0,0,0,0,0,0,0,15,0,0,1,2,0,0,1,1,1,3,0,0
