"","394"
"1",1
"2",0
"3",0
"4",0
"5",0
"6",0
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",0
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",0
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",0
"37",1
"38",1
"39",1
"40",0
"41",0
"42",0
"43",1
"44",1
"45",1
"46",1
"47",0
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",0
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",0
"70",1
"71",1
"72",1
"73",1
"74",1
"75",1
"76",0
"77",0
"78",0
"79",1
"80",0
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",1
"89",1
"90",1
"91",0
"92",1
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",0
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",0
"115",0
"116",0
"117",0
"118",1
"119",1
"120",1
"121",1
"122",1
"123",1
"124",1
"125",0
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",0
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",0
"148",1
"149",1
"150",1
"151",0
"152",0
"153",0
"154",1
"155",1
"156",1
"157",1
"158",0
"159",1
"160",1
"161",1
"162",1
"163",1
"164",1
"165",1
"166",1
"167",1
"168",1
"169",0
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",1
"179",1
"180",0
"181",1
"182",1
"183",1
"184",1
"185",1
"186",1
"187",0
"188",0
"189",0
"190",1
"191",0
"192",1
"193",1
"194",1
"195",1
"196",1
"197",1
"198",1
"199",1
"200",1
"201",0
"202",0
"203",1
"204",1
"205",1
"206",1
"207",1
"208",1
"209",1
"210",1
"211",1
"212",1
"213",0
"214",1
"215",1
"216",1
"217",1
"218",1
"219",1
"220",1
"221",1
"222",1
"223",1
"224",1
"225",0
"226",0
"227",0
"228",0
"229",1
"230",1
"231",1
"232",1
"233",1
"234",1
"235",1
"236",0
"237",1
"238",1
"239",1
"240",1
"241",1
"242",1
"243",1
"244",1
"245",1
"246",1
"247",0
"248",1
"249",1
"250",1
"251",1
"252",1
"253",1
"254",1
"255",1
"256",1
"257",1
"258",0
"259",1
"260",1
"261",1
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",1
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",1
"294",1
"295",0
"296",0
"297",1
"298",1
"299",1
"300",1
"301",1
"302",1
"303",1
"304",1
"305",1
"306",1
"307",0
"308",1
"309",1
"310",1
"311",1
"312",1
"313",1
"314",1
"315",1
"316",1
"317",1
"318",0
"319",1
"320",1
"321",1
"322",1
"323",1
"324",1
"325",0
"326",0
"327",0
"328",0
"329",0
"330",1
"331",1
"332",1
"333",1
"334",1
"335",1
"336",1
"337",1
"338",1
"339",1
"340",0
"341",1
"342",1
"343",1
"344",1
"345",1
"346",1
"347",1
"348",1
"349",1
"350",1
"351",0
"352",1
"353",1
"354",1
"355",1
"356",1
"357",1
"358",1
"359",1
"360",1
"361",0
"362",0
"363",0
