"","X139","X168","X181","X233","X240","X273","X301","X302","X311","X313","X337","X348","X373","X378","X379","X380","X385","X391","X394","X399","X408","X415","X417","X429","X439","X447","X448","X451","X457","X459","X461","X470","X472","X473","X475","X477","X480","X483","X484","X494","X504","X507","X514","X516","X523","X558","X573","X575","X581","X585","X589","X602","X611","X616","X617","X619","X623","X627","X654","X656","X668","X672","X677","X695","X708","X711","X748","X752","X757","X761","X765","X768","X771","X774","X777","X780","X788","X790","X805","X810","X812","X820","X824","X825","X830","X834","X835","X838","X843","X1716","X1717","X1722","X2825","X2827","X2869","X2995","X3187","X3651","X3654","X3657","X3661","X3671","X3677","X6711","X6723","X6735","X6810","X6818","X6826","X6832","X6833","X6837","X6842","X6843","X6853","X6857","X6863","X6864","X6865","X6866","X6874","X6879","X6882","X6979","X6992","X6995","X6998","X7040","X7048","X7276","X7279","X7282","X7284","X7287","X7308","X7324","X7328","X7330","X7334","X7374","X7377","X7378","X7380","X7434","X7464","X7467","X7469","X7475","X7479","X7494","X7531","X7537","X7538","X7547","X7560","X7562","X7564","X7574","X7582","X7592","X7593","X7619","X7632","X7633","X7636","X7638","X7651","X7660","X7661","X7663","X7672","X7689","X7698","X7699","X7701","X7702","X7703","X7845","X7846","X7889","X7892","X7894","X7903","X7905","X7915","X7916","X7948","X7987","X8000","X8010","X8011","X8097","X8098","X8099","X8107","X8225","X8230","X8231","X8233","X8234","X8236","X8420","X8443","X8460","X8469","X8476","X8519","X8555","X8556","X8559","X8572","X8693","X8702","X8703","X8705","X8706","X8723","X8731","X8732","X8734","X8738","X8746","X8753","X8755","X8761","X8777","X8778","X8780","X8784","X8785","X8786","X8787","X8790","X8793","X8845","X8853","X8855","X8907","X8934","X8942","X8957","X9030","X9031","X9032","X9034","X9051","X9052","X9071","X9086","X9094","X9131","X9335","X9337","X9347","X9469","X9474","X9499","X9501","X9502","X9503","X9504","X9506","X9509","X9515","X9531","X9536","X9541","X9542","X9546","X9557","X9562","X9587","X9588","X9595","X9598","X9599","X9601","X9611","X9612","X9618","X9634","X9639","X9641","X9663","X9664","X9680","X9681","X9690","X9706","X9707","X9708","X9710","X9719","X9721","X9723","X9726","X9727","X9731","X9732","X9736","X9737","X9740","X9742","X9744","X9747","X9749","X9754","X9756","X9758","X9760","X9761","X9763","X9766","X9768","X9771","X9776","X9794","X9795","X9809","X9811","X9813","X9815","X9817","X9818","X9820","X9827","X9829","X9830","X9838","X9840","X9842","X9843","X9844","X9846","X9849","X9852","X9863","X9873","X9937","X9952","X10596","X10600","X10671","X10743","X10756","X10758","X10763","X10766","X10769","X10770","X10773","X10787","X10796"
"1",0,4,0,22,7,15,1,1,0,5,2,0,3,1,1,1,8,0,3,0,0,0,0,8,0,2,1,0,0,1,0,0,0,0,0,0,0,3,1,6,1,5,0,0,0,0,0,0,0,0,2,0,1,0,1,115,2,13,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,1,4,4,0,0,2,0,0,1,0,2,2,1,1,2,0,0,0,1,0,0,0,3,8,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,1,6,2,1,2,1,6,0,0,2,1,3,1,0,3,1,17,3,0,1,4,2,1,3,4,2,1,1,4,1,1,1,0,11,1,1,0,1,4,1,1,1,1,0,15,3,13,1,3,0,1,1,1,8,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,3,4,0,0,4,0,0,0,0,4,2,1,2,4,1,0,0,6,1,0,0,0,0,0,0,0,4,3,2,2,1,1,51,1,0,0,0,0,4,1,1,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,0,0,0,0,0,0,0,0,1,1,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,3,1,2,1,1,1,4,1,0,1,0,0
"2",0,4,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,1,0,0,0,3,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,1,2,75,17,4,1,1,13,3,3,8,0,4,4,0,3,2,1,1,2,1,1,1,2,1,1,0,2,1,1,4,2,2,1,0,0,2,2,0,0,0,1,6,2,1,2,0,6,0,0,2,1,0,1,2,0,0,0,3,1,1,4,2,1,3,4,2,0,1,0,1,1,0,0,0,1,1,0,1,4,1,1,0,1,2,15,3,13,1,3,1,1,1,1,8,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,2,4,2,0,1,1,4,0,1,2,4,0,1,2,6,1,1,0,0,2,14,0,2,4,0,2,2,1,1,0,1,1,1,3,1,4,1,1,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,0,0,0,0,0,0,0,0,8,1,1,1,6,1,0,3,1,0,1,0,1,0,0,1,2,1,2,2,0,2,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,2,1,1,0,0,0,1,0,0,0
"3",10,4,13,22,7,15,0,0,0,5,2,14,3,0,0,1,8,0,3,1,0,0,6,8,0,2,0,0,0,0,3,0,3,1,1,1,1,0,0,0,1,5,1,2,2,1,1,1,1,1,2,6,1,1,1,115,2,0,1,1,3,3,3,3,2,3,2,0,3,3,2,2,3,0,228,30,1,2,1,1,4,4,2,1,2,1,1,1,7,2,2,0,0,2,75,17,4,0,1,13,3,3,8,4,4,4,3,0,2,1,1,2,1,1,0,2,1,1,0,2,1,0,4,0,2,0,0,2,2,0,4,0,1,1,6,0,1,0,0,0,33,4,0,1,3,1,2,3,1,17,3,1,0,4,2,0,3,4,2,1,1,4,0,1,1,6,0,1,0,7,0,4,1,1,1,1,2,15,3,13,1,3,0,1,1,1,8,0,4,0,0,0,0,3,2,2,2,0,1,0,1,7,0,2,1,1,11,7,11,1,4,0,4,1,2,4,2,1,0,1,4,0,1,2,4,1,1,2,0,0,1,1,0,2,14,1,2,4,0,2,2,0,1,0,1,1,1,3,0,4,1,1,25,2,6,3,1,2,0,4,2,2,2,0,1,0,1,3,1,0,0,0,0,0,0,2,0,1,1,1,0,2,1,0,0,0,0,8,1,0,1,6,0,0,0,1,4,1,4,0,2,1,0,0,0,2,2,1,2,1,1,2,1,1,1,4,1,8,1,1,1,2,2,1,0,1,1,0,1,0,0,1,1,1,0,12,1,0,5,0,0,3,1,2,0,1,0,0,0,0,1,8,1
"4",10,4,13,22,7,15,0,0,1,5,2,14,3,0,0,1,8,0,3,1,0,0,6,8,0,2,0,0,0,1,3,1,3,1,1,1,1,0,0,0,1,5,1,2,2,1,1,1,1,1,0,6,1,1,1,0,2,0,0,1,3,3,3,3,2,3,2,0,3,3,2,2,3,2,228,30,1,2,1,1,4,4,2,1,2,1,1,1,7,0,0,0,1,2,75,17,4,1,1,0,0,3,8,4,4,4,3,0,2,1,1,2,1,1,0,2,1,1,0,2,1,0,4,2,2,0,0,2,2,0,4,0,1,1,6,0,0,2,1,0,33,4,0,1,3,1,2,3,0,0,3,0,1,4,2,0,3,4,2,1,1,4,0,1,0,6,0,1,1,7,0,4,1,1,1,1,2,0,0,13,1,3,0,1,1,0,8,0,4,0,0,0,0,3,2,2,2,0,1,0,1,7,0,2,1,1,0,7,11,1,0,3,4,1,2,4,2,1,0,1,4,0,1,2,4,0,0,2,0,0,1,1,2,2,14,1,2,0,0,0,0,1,1,51,1,1,1,3,0,4,0,1,25,2,6,3,1,2,0,4,2,2,2,0,1,0,1,3,1,0,0,1,1,1,2,2,0,1,1,1,0,2,1,0,0,0,0,8,1,0,1,0,0,1,0,1,4,1,0,0,0,1,0,0,0,2,2,1,2,1,1,2,1,1,1,4,1,8,1,1,1,2,2,1,0,1,1,0,1,0,0,1,1,1,0,12,1,0,5,0,2,3,1,0,0,1,0,0,0,0,1,8,1
"5",10,4,13,22,7,15,1,1,0,5,2,14,3,0,0,1,0,0,3,1,0,0,6,8,0,2,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,5,0,2,2,0,0,1,1,1,2,6,0,1,1,0,2,0,1,1,3,3,3,3,2,3,2,0,3,3,2,2,3,2,228,30,0,2,1,1,4,4,2,1,2,1,1,1,7,2,2,1,1,2,75,17,4,1,1,13,3,3,0,4,4,4,3,0,2,1,1,2,1,1,0,2,1,1,0,2,1,0,4,2,2,0,0,2,2,0,4,0,1,1,0,0,1,2,1,0,33,4,0,1,3,1,2,3,1,17,3,1,1,4,2,1,3,0,0,0,0,4,0,1,1,6,0,1,1,7,1,4,1,1,0,0,2,15,3,0,0,3,0,1,1,0,0,0,4,0,0,0,0,3,2,2,2,0,1,0,1,7,0,2,1,1,0,7,11,1,4,3,4,1,2,4,0,0,1,1,4,0,1,2,4,1,1,2,0,0,1,1,2,2,0,0,0,0,0,2,2,1,1,51,1,0,1,3,0,4,1,0,25,2,6,3,1,2,0,4,2,2,2,0,1,0,1,3,1,0,0,1,1,1,2,2,4,1,1,1,0,2,1,0,0,1,1,8,1,0,1,0,1,1,3,1,4,0,4,0,0,1,1,2,1,2,2,0,2,1,0,2,1,1,1,4,1,8,1,1,1,2,2,1,0,1,1,0,1,0,0,1,1,1,0,12,1,0,5,3,2,3,1,2,1,0,0,0,0,0,0,8,1
"6",10,4,13,22,7,15,1,1,0,5,0,0,3,0,0,1,8,0,3,0,0,0,6,0,0,0,0,0,0,0,3,0,3,1,1,1,0,0,0,6,1,5,0,2,2,1,0,1,1,1,2,6,0,0,0,0,0,0,0,1,3,3,3,3,2,3,2,0,3,3,2,2,3,2,228,30,0,0,1,1,4,4,2,1,2,0,1,0,7,2,2,1,0,0,75,17,4,0,0,0,0,3,8,4,4,4,3,0,2,1,1,2,1,1,0,2,1,1,0,2,1,0,4,2,2,0,0,2,2,0,4,0,1,0,6,0,0,2,1,0,33,4,0,1,3,1,2,3,1,17,0,0,1,4,2,1,0,0,2,1,0,4,0,0,1,6,0,1,1,7,1,0,0,0,1,1,2,15,3,13,1,0,0,0,1,1,0,0,0,0,0,0,0,3,2,2,2,0,1,0,1,7,0,2,1,1,0,7,11,1,4,3,0,1,0,4,2,1,1,1,0,2,1,0,0,0,1,2,0,1,1,1,2,2,14,1,0,4,3,0,2,1,1,51,1,1,0,0,0,0,1,1,25,2,6,3,1,2,0,4,2,2,2,0,1,0,1,3,1,0,0,0,0,1,2,2,4,1,1,1,0,2,1,0,0,1,1,8,1,1,1,6,0,0,3,1,0,1,4,1,0,0,0,0,1,0,2,1,2,0,1,0,1,1,0,4,1,8,1,1,1,2,2,1,0,1,1,0,1,0,0,1,1,1,0,12,1,0,5,3,2,3,0,2,1,1,0,0,1,1,1,8,1
"7",10,4,13,22,7,15,1,1,0,5,0,14,3,0,0,1,8,0,3,0,0,0,6,8,0,2,0,0,0,0,3,0,0,1,1,1,1,0,0,6,1,5,0,2,2,1,0,1,1,1,2,6,0,0,1,0,0,0,1,1,3,3,3,3,0,3,2,0,3,3,2,2,3,2,228,30,0,0,1,1,4,4,2,1,2,0,1,1,7,2,2,1,0,0,75,17,4,1,0,0,3,3,0,4,4,4,3,0,2,1,1,2,1,1,0,2,1,1,0,2,1,0,4,2,2,0,0,2,2,0,4,0,1,0,6,0,1,2,1,0,33,4,0,1,3,1,2,3,1,17,3,1,1,4,2,1,3,4,2,1,1,4,0,1,1,6,11,1,1,7,1,0,1,1,1,1,2,15,3,13,1,3,0,0,1,1,8,0,0,0,0,0,0,3,2,2,2,0,1,0,1,7,0,2,1,1,0,7,11,1,4,3,4,1,2,0,2,1,0,1,4,0,1,0,4,1,1,2,0,0,0,1,2,2,14,1,2,4,0,2,2,1,1,51,1,1,0,3,0,0,1,1,25,2,6,3,1,2,0,4,2,2,2,0,1,0,1,3,1,0,0,1,0,1,2,0,4,1,1,1,0,2,1,0,0,1,1,8,1,1,1,6,1,1,3,1,4,1,4,1,0,1,0,0,1,0,2,0,2,1,1,0,1,1,1,4,1,8,1,1,1,2,2,1,0,1,1,0,1,0,0,1,1,1,0,12,1,0,5,3,2,0,0,2,0,1,0,0,1,1,1,8,1
"8",10,4,13,0,0,15,1,0,0,5,0,14,3,0,0,1,0,0,3,1,0,0,6,8,0,0,0,0,0,0,3,1,3,0,1,1,1,0,0,6,1,5,1,2,0,1,0,1,1,1,2,6,0,0,1,0,0,0,1,1,3,3,3,3,2,3,2,0,3,3,2,2,3,2,228,30,0,0,1,1,4,4,2,1,2,0,1,1,7,0,0,1,0,2,75,17,4,1,1,13,3,3,0,0,4,4,3,0,2,1,1,2,1,1,0,2,1,1,0,2,1,0,4,2,2,1,0,2,2,0,4,0,1,1,6,0,1,2,0,0,33,4,0,0,0,1,2,3,1,17,3,1,1,4,0,1,3,4,2,1,1,0,1,1,1,6,11,1,1,7,1,0,1,1,1,1,2,15,3,13,1,3,0,1,1,1,8,1,4,0,0,0,0,3,2,2,2,0,1,0,1,7,0,2,1,1,0,7,11,1,4,0,0,1,2,4,2,1,1,1,4,2,0,2,4,0,1,2,0,0,1,1,2,2,14,1,2,4,3,2,2,0,1,51,0,1,1,0,0,4,1,1,0,0,6,3,1,2,0,4,2,2,2,0,1,0,1,3,1,0,0,1,0,0,2,2,4,1,1,1,0,2,1,0,0,1,0,8,1,1,1,6,1,1,3,0,4,1,0,1,2,1,0,2,1,0,2,0,0,1,1,0,1,1,1,4,1,8,1,1,1,2,2,1,0,1,1,0,1,0,0,1,1,1,0,12,1,0,0,3,0,3,0,2,0,1,0,0,1,1,1,8,1
"9",10,4,13,22,0,15,1,1,0,5,0,0,3,0,0,1,8,1,3,1,0,0,6,8,0,0,0,0,0,0,3,1,3,1,1,0,1,0,0,6,1,5,1,2,0,1,0,1,1,1,2,6,0,0,1,0,0,0,1,0,3,3,3,3,2,3,2,0,3,3,2,2,3,2,228,30,0,0,1,1,4,4,2,1,2,1,1,1,7,2,0,1,0,0,75,17,4,1,1,13,3,3,8,4,0,4,3,0,2,1,1,2,1,1,0,2,1,1,0,2,1,0,4,2,2,1,0,2,2,0,4,0,1,1,6,0,1,2,1,0,33,4,0,1,3,1,2,3,0,17,0,1,1,4,2,1,3,4,2,1,1,4,1,1,1,6,11,1,1,7,1,0,1,1,1,1,2,15,3,13,1,3,0,1,1,1,0,0,4,2,0,0,0,3,2,2,2,0,1,0,1,7,0,2,1,1,0,7,11,1,4,3,4,1,2,4,0,1,1,1,4,2,1,2,4,0,1,2,0,0,1,1,2,2,14,0,2,4,3,2,2,0,1,51,0,1,1,3,1,4,1,0,25,2,6,3,1,2,0,4,2,2,2,0,1,0,1,3,1,0,0,1,1,1,2,2,0,1,1,1,0,2,1,0,0,1,1,8,1,1,1,0,1,0,0,1,0,1,4,1,2,1,1,0,1,2,2,0,0,1,0,2,1,1,1,4,1,8,1,1,1,2,2,1,0,1,1,0,1,0,0,1,1,1,0,12,1,0,5,0,2,3,0,0,1,1,0,0,1,1,1,8,1
"10",10,4,13,22,0,15,1,1,0,5,2,0,3,0,0,1,0,1,3,1,0,0,6,8,0,2,0,0,0,0,3,1,0,0,1,0,1,0,0,6,1,5,1,2,0,1,0,1,1,1,2,6,0,0,0,0,0,0,1,1,3,3,3,3,2,3,2,0,3,3,2,2,3,2,228,30,0,0,1,1,4,4,2,1,2,1,1,1,7,2,2,1,0,2,75,17,4,1,1,13,3,3,8,4,4,4,3,0,2,1,1,2,1,1,0,2,1,1,0,2,1,0,4,2,2,1,0,2,2,0,4,0,1,1,6,2,1,2,1,6,33,4,0,1,3,1,2,0,0,17,3,1,1,4,2,1,3,4,2,1,1,4,1,1,1,6,11,1,1,7,1,0,0,0,1,1,2,15,3,13,1,0,0,1,1,1,8,1,4,2,0,0,0,3,2,2,2,0,1,0,1,7,0,2,1,1,11,7,11,1,4,3,4,1,2,4,2,1,0,1,4,2,1,2,0,0,1,2,0,1,1,1,0,2,14,1,2,0,3,2,2,0,1,51,0,1,1,0,0,4,1,0,25,2,6,3,1,2,0,4,2,2,2,0,1,0,1,3,1,0,0,1,1,1,2,0,4,1,1,1,0,2,1,0,0,1,1,8,1,1,1,6,1,0,3,1,0,1,0,0,2,1,1,0,1,2,2,1,2,1,0,2,1,1,1,4,1,8,1,1,1,2,2,1,0,1,1,0,1,0,0,1,1,1,0,12,1,0,5,0,2,3,0,0,1,1,0,0,1,1,1,8,1
