"","X165","X188","X201","X219","X265","X293","X299","X340","X343","X373","X500","X564","X568","X569","X578","X590","X597","X604","X610","X616","X630","X637","X639","X651","X662","X670","X671","X674","X680","X682","X684","X693","X695","X696","X698","X700","X703","X706","X707","X721","X732","X735","X742","X744","X746","X749","X751","X753","X803","X812","X814","X815","X827","X829","X831","X837","X841","X851","X860","X865","X881","X888","X890","X944","X945","X952","X960","X1110","X1121","X1129","X1202","X1297","X1309","X1313","X1360","X1369","X1372","X1414","X1418","X1423","X1428","X1433","X1436","X1446","X1449","X1452","X1469","X1474","X1502","X1516","X1531","X1710","X1722","X1734","X1809","X1817","X1825","X1831","X1832","X1836","X1841","X1842","X1846","X1852","X1856","X1862","X1863","X1864","X1865","X1873","X1878","X1881","X1997","X2010","X2013","X2016","X2058","X2071","X2076","X2237","X2356","X2359","X2362","X2364","X2367","X2389","X2405","X2409","X2411","X2415","X2449","X2452","X2453","X2455","X2510","X2544","X2547","X2549","X2555","X2559","X2574","X2611","X2617","X2618","X2627","X2634","X2640","X2642","X2644","X2654","X2662","X2672","X2673","X2699","X2712","X2713","X2716","X2718","X2731","X2740","X2741","X2743","X2752","X2771","X2780","X2781","X2783","X2784","X2785","X2927","X2928","X2971","X2974","X2976","X2985","X2987","X2997","X2998","X3030","X3069","X3082","X3092","X3093","X3179","X3180","X3181","X3189","X3295","X3307","X3312","X3313","X3498","X3534","X3543","X3621","X3622","X3625","X3638","X3760","X3769","X3770","X3772","X3773","X3790","X3798","X3799","X3800","X3801","X3805","X3813","X3820","X3822","X3828","X3844","X3845","X3847","X3851","X3852","X3853","X3854","X3857","X3859","X3860","X3912","X3920","X3922","X3975","X4003","X4011","X4026","X4099","X4100","X4101","X4103","X4120","X4121","X4140","X4155","X4163","X4181","X4200","X4380","X4382","X4392","X4520","X4525","X4550","X4552","X4553","X4554","X4555","X4557","X4566","X4582","X4587","X4592","X4593","X4597","X4608","X4613","X4638","X4639","X4646","X4649","X4650","X4652","X4662","X4663","X4669","X4685","X4690","X4692","X4714","X4715","X4731","X4732","X4741","X4757","X4758","X4759","X4761","X4770","X4772","X4774","X4777","X4778","X4782","X4783","X4787","X4788","X4791","X4793","X4795","X4798","X4800","X4805","X4807","X4809","X4811","X4812","X4814","X4817","X4819","X4822","X4827","X4849","X4850","X4864","X4866","X4868","X4870","X4872","X4873","X4875","X4882","X4884","X4885","X4893","X4895","X4897","X4898","X4899","X4901","X4904","X4907","X4918","X4928","X4992","X5007","X5933","X5935","X5940","X7618","X7620","X8509","X8512","X8529","X12972","X12976","X13047","X13115","X13129","X13131","X13136","X13139","X13142","X13143","X13146","X13160","X13168","X13169"
"1",0,4,0,0,16,37,0,2,0,18,1,3,0,1,5,2,8,0,3,0,0,0,0,9,0,2,1,0,0,1,0,0,0,0,0,0,0,4,1,4,1,4,0,0,0,1,3,0,1,0,2,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,1,0,130,2,24,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,3,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,2,0,0,0,1,6,2,1,2,1,6,0,0,2,1,3,1,0,3,1,17,3,0,1,3,1,2,1,3,4,2,1,1,4,1,1,1,0,11,1,1,0,1,4,1,1,1,1,0,15,3,13,1,3,0,1,1,1,8,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,4,0,0,0,0,0,4,2,1,2,4,1,0,0,6,1,0,0,0,0,0,0,0,0,4,3,2,2,1,1,51,1,0,0,0,0,4,8,1,1,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,0,0,0,0,0,0,0,0,1,1,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,1,1,2,1,0,3,2,3,1,3,1,1,1,4,1,0,1,0,0,0
"2",0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,1,0,0,0,2,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,4,0,3,2,1,1,2,1,1,17,1,2,1,1,0,2,1,1,4,2,2,1,0,0,77,2,4,2,0,0,0,1,6,2,1,2,0,6,0,0,2,1,0,1,2,0,0,0,3,1,1,3,1,2,1,3,4,2,0,1,0,1,1,0,0,0,1,1,0,1,4,1,1,0,1,2,15,3,13,1,3,1,1,1,1,8,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,2,4,2,0,1,3,1,4,0,1,2,4,0,1,2,6,1,1,0,0,13,2,14,0,2,4,0,2,2,1,1,0,1,1,1,3,1,4,8,1,1,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,0,0,0,0,0,0,0,0,8,1,1,1,6,1,0,3,1,0,1,0,1,0,0,1,2,1,2,2,0,2,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,1,1,3,0,3,0,3,1,1,0,0,0,1,0,0,0,0
"3",11,4,13,8,16,37,1,2,5,0,0,3,1,1,5,2,8,0,3,2,0,0,7,0,0,2,0,0,0,1,3,0,3,1,1,0,1,4,0,4,0,0,2,1,2,0,0,2,1,1,2,7,8,0,1,0,1,2,3,2,0,1,6,2,1,1,1,6,130,2,0,1,3,3,8,2,3,2,0,4,4,2,3,0,240,30,3,1,3,1,3,4,0,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,0,2,0,0,2,77,2,4,0,4,0,1,1,6,0,1,0,0,0,33,4,0,1,3,1,2,3,1,17,3,1,0,3,1,2,0,3,4,2,1,1,4,0,1,1,2,0,1,0,7,0,4,1,1,1,1,2,15,3,13,1,3,0,1,1,1,8,0,4,0,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,4,0,4,1,2,4,2,1,0,3,1,4,0,1,2,4,1,1,2,0,0,1,1,0,13,2,14,1,2,4,0,2,2,0,1,0,1,1,1,3,0,4,8,1,1,25,2,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,0,0,0,0,2,0,1,1,1,0,2,1,0,0,0,0,8,1,1,1,6,1,0,0,0,0,0,4,0,2,1,1,2,1,2,0,1,0,1,1,2,1,0,1,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,1,1,1,0,2,0,1,3,0,3,1,0,1,1,1,4,1,0,1,8,1,1
"4",11,4,13,8,16,37,1,2,5,0,0,3,1,1,5,2,8,0,3,2,0,0,7,0,0,2,0,0,0,1,3,1,3,1,1,0,1,4,0,4,0,0,2,1,2,0,3,2,1,1,2,7,8,0,1,1,1,2,3,2,1,1,6,2,1,1,1,6,0,0,0,1,3,3,8,2,3,2,0,4,4,2,3,2,240,30,3,1,3,1,3,4,0,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,2,2,0,0,2,77,2,4,0,4,0,1,1,6,0,0,2,1,0,33,4,0,1,3,1,2,3,0,0,3,0,1,3,0,2,0,3,4,2,1,1,4,0,1,0,2,0,1,1,7,0,4,1,1,1,1,2,0,0,13,1,3,0,1,1,0,8,0,4,0,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,0,3,4,1,2,4,2,1,0,0,1,4,0,1,2,4,0,0,2,0,0,1,1,2,0,2,14,1,2,0,0,0,0,1,1,51,1,1,1,3,0,4,8,0,1,25,2,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,1,1,1,2,2,0,1,1,1,0,2,1,0,0,0,0,8,1,0,1,6,1,0,3,1,4,1,0,0,0,1,1,2,1,0,2,1,2,1,1,2,1,0,1,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,0,0,0,1,2,1,1,3,2,3,1,0,1,1,0,4,1,0,1,8,1,1
"5",11,4,13,8,16,37,1,2,5,0,0,3,1,1,5,0,0,0,3,2,0,0,7,9,0,2,0,0,0,1,3,0,0,0,0,0,1,4,0,0,1,4,2,0,2,1,3,2,0,1,2,7,8,1,1,1,1,2,3,2,1,1,6,2,1,1,1,6,0,0,0,1,3,3,8,2,3,2,0,4,4,2,3,2,240,30,0,0,3,1,3,4,0,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,2,2,0,0,2,77,2,4,0,4,0,1,1,0,0,1,2,1,0,33,4,0,1,3,1,2,3,1,17,3,1,1,3,1,2,1,3,0,0,0,0,4,0,1,1,2,0,1,1,7,1,4,1,1,0,0,2,15,3,0,0,3,0,1,1,0,0,0,4,0,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,4,3,4,1,2,4,0,0,1,3,1,4,0,1,2,4,1,1,2,0,0,1,1,2,13,2,0,0,0,0,0,2,2,1,1,51,1,0,1,3,0,4,0,1,0,25,2,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,1,1,1,2,2,4,1,1,1,0,2,1,0,0,1,1,0,1,1,1,6,0,1,3,0,0,1,0,1,2,1,1,2,1,0,2,0,2,1,1,2,1,0,1,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,1,1,1,1,2,1,1,3,2,3,1,3,1,1,1,4,1,1,1,8,1,1
"6",11,4,13,8,16,37,0,2,5,0,0,3,1,1,5,2,8,0,3,2,0,0,7,9,0,0,0,0,0,1,3,0,3,1,1,0,0,4,0,0,1,0,2,0,2,1,0,2,1,0,2,7,8,1,1,1,1,2,3,2,0,0,6,2,1,1,1,6,0,0,0,1,3,3,8,2,3,2,0,4,4,2,3,2,240,30,0,0,0,1,3,4,4,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,2,2,0,0,2,77,2,4,0,4,0,1,0,6,0,0,2,1,0,33,4,0,1,3,1,2,3,1,17,0,0,1,3,1,2,1,0,0,2,1,0,4,0,0,1,2,0,1,1,7,1,0,0,0,1,1,2,15,3,13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,4,3,0,1,0,4,2,1,1,0,1,0,2,1,0,0,0,1,2,0,1,1,1,2,0,2,14,1,0,4,3,0,2,1,1,51,1,1,0,0,0,0,8,1,1,25,2,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,0,0,1,2,2,4,1,1,1,0,2,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,4,1,2,1,1,2,1,2,0,1,0,1,1,0,1,0,1,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,1,1,1,0,0,0,0,3,2,3,0,3,1,1,1,0,1,0,0,8,1,1
"7",11,4,13,8,16,37,0,2,5,0,1,3,1,1,5,2,8,0,3,2,0,0,7,9,0,0,0,0,0,1,3,0,0,1,1,0,1,4,0,0,1,0,2,0,2,1,0,2,1,0,2,0,0,1,1,1,1,2,3,2,1,1,6,2,1,1,1,6,0,0,0,1,3,3,8,0,3,2,0,4,4,2,3,2,240,30,0,0,0,1,3,4,4,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,2,2,0,0,2,77,2,4,0,4,0,1,0,6,0,1,2,1,0,33,4,0,1,3,1,2,3,1,17,3,1,1,3,1,2,1,3,4,2,1,1,4,0,1,1,2,11,1,1,7,1,0,1,1,1,1,2,15,3,13,1,3,0,0,1,1,8,0,0,0,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,4,3,4,1,2,0,2,1,0,3,1,4,0,1,0,4,1,1,2,0,0,0,1,2,0,2,14,1,2,4,0,2,2,1,1,51,1,1,0,3,0,0,0,1,1,25,2,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,1,0,1,2,0,4,1,1,1,0,2,1,0,0,1,1,0,1,0,1,0,0,0,3,1,0,1,4,1,2,1,1,2,1,2,0,1,2,1,1,0,1,0,1,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,1,1,1,0,0,1,0,3,2,0,0,3,0,1,1,0,1,0,0,8,1,1
"8",11,0,13,8,0,0,0,2,5,0,0,3,1,1,0,0,8,0,3,0,0,0,7,0,0,0,0,0,0,0,3,1,3,0,1,1,1,4,0,0,1,4,2,1,2,1,0,0,0,1,2,7,0,1,1,1,1,2,3,2,1,1,6,2,1,1,1,6,0,0,0,1,3,3,8,2,3,2,0,4,4,2,3,2,240,30,0,0,0,1,3,0,4,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,2,2,1,0,2,77,2,4,0,4,0,1,1,6,0,1,2,0,0,33,4,0,0,0,1,2,3,1,17,3,1,1,3,1,0,1,3,4,2,1,1,0,1,1,1,2,11,1,1,7,1,0,1,1,1,1,2,15,3,13,1,3,0,1,1,1,8,1,4,0,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,4,0,0,1,2,4,2,1,1,3,1,4,2,0,2,4,0,1,2,0,0,1,1,2,13,2,14,1,2,4,3,2,2,0,1,51,0,1,1,0,0,4,0,1,1,0,0,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,1,0,0,2,2,4,1,1,1,0,2,1,0,0,1,0,0,1,1,1,6,0,1,3,1,0,0,4,1,0,1,0,2,0,2,0,1,2,0,0,0,1,1,1,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,1,1,1,0,2,1,1,3,0,3,0,0,1,1,1,4,1,1,0,8,1,1
"9",11,0,13,8,0,37,1,2,5,0,1,3,1,1,5,0,8,1,3,2,0,0,7,9,0,0,0,0,0,1,3,1,3,1,1,0,1,4,0,0,1,4,2,1,2,0,0,0,1,1,2,7,8,1,1,1,1,2,3,2,0,1,6,2,1,1,1,6,0,0,0,0,3,3,8,2,3,2,0,4,4,2,3,2,240,30,0,0,0,1,3,4,4,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,2,2,1,0,2,77,2,4,0,4,0,1,1,6,0,1,2,1,0,33,4,0,1,3,1,2,3,0,17,0,1,1,3,1,2,1,3,4,2,1,1,4,1,1,1,2,11,1,1,7,1,0,1,1,1,1,2,15,3,13,1,3,0,1,1,1,0,0,4,2,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,4,3,4,1,2,4,0,1,1,3,1,4,2,1,2,4,0,1,2,0,0,1,1,2,13,2,14,0,2,4,3,2,2,0,1,51,0,1,1,3,1,4,8,1,0,25,2,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,1,1,1,2,2,0,1,1,1,0,2,1,0,0,1,1,8,1,0,1,6,1,1,0,1,4,0,0,1,0,0,0,0,1,2,2,1,2,1,1,2,1,1,0,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,1,0,0,0,0,1,1,3,2,3,0,3,1,1,1,0,0,0,1,8,1,1
"10",11,4,13,8,0,37,1,2,5,0,1,3,1,1,5,0,8,1,3,2,0,0,7,9,0,0,0,0,0,1,3,1,0,0,1,0,1,4,0,0,1,4,2,1,2,0,0,0,1,1,2,7,8,0,1,1,1,2,3,2,1,1,6,2,1,1,1,6,0,2,0,1,3,3,8,2,3,2,0,4,4,2,3,2,240,30,0,0,0,1,3,4,4,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,2,2,1,0,2,77,2,4,0,4,0,1,1,6,2,1,2,1,6,33,4,0,1,3,1,2,0,0,17,3,1,1,3,1,2,1,3,4,2,1,1,4,1,1,1,2,11,1,1,7,1,0,0,0,1,1,2,15,3,13,1,0,0,1,1,1,8,1,4,2,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,4,3,4,1,2,4,2,1,0,3,1,4,2,1,2,0,0,1,2,0,1,1,1,0,13,2,14,1,2,0,3,2,2,0,1,51,0,1,1,0,0,4,8,1,0,25,2,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,1,1,1,2,0,4,1,1,1,0,2,1,0,0,1,1,8,1,0,1,6,1,0,0,0,0,0,4,1,0,0,1,0,1,2,2,1,2,1,1,2,1,1,0,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,1,1,1,0,2,1,1,3,2,3,0,3,1,1,1,0,0,0,1,8,1,1
"11",11,4,13,8,0,37,1,2,5,0,1,3,1,1,5,0,8,1,3,2,0,0,7,9,0,2,0,0,0,1,3,1,3,1,1,0,1,4,0,0,1,4,2,0,2,1,0,2,0,1,2,7,8,1,1,1,1,2,3,2,1,1,6,2,1,1,1,6,0,2,0,1,3,3,8,2,3,0,0,4,4,2,3,2,240,30,0,0,0,1,3,4,4,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,2,2,0,0,2,77,2,4,0,4,0,1,1,6,2,1,2,1,6,33,4,0,1,3,1,2,3,0,17,3,0,1,3,1,2,1,3,4,2,1,1,4,1,1,1,2,11,1,1,7,1,0,0,1,1,1,2,0,0,13,1,3,0,1,1,1,8,1,0,2,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,4,3,0,1,2,0,2,0,0,3,1,4,2,1,2,4,1,0,2,6,1,0,1,2,13,2,14,0,2,4,0,2,2,0,1,51,0,1,1,3,1,4,8,1,0,25,2,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,1,0,1,2,0,4,1,1,1,0,2,1,0,0,0,1,8,1,1,1,0,1,1,3,1,4,1,4,1,0,1,1,2,1,0,2,0,0,1,1,2,1,1,1,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,1,1,1,0,2,1,1,0,2,3,0,3,0,0,1,0,1,1,1,8,1,1
