"","X173","X192","X204","X220","X264","X282","X285","X322","X325","X351","X464","X517","X520","X521","X526","X536","X543","X546","X549","X555","X569","X575","X577","X589","X597","X605","X606","X609","X615","X617","X619","X628","X630","X635","X638","X641","X642","X652","X661","X664","X671","X673","X675","X678","X680","X682","X730","X731","X735","X749","X751","X752","X764","X766","X768","X774","X778","X788","X798","X803","X816","X819","X821","X875","X876","X882","X885","X1051","X1061","X1068","X1138","X1229","X1241","X1245","X1295","X1304","X1307","X1349","X1353","X1358","X1363","X1368","X1371","X1381","X1384","X1387","X1414","X1419","X1447","X1461","X1476","X1665","X1675","X1686","X1756","X1762","X1768","X1772","X1773","X1777","X1781","X1782","X1786","X1791","X1795","X1799","X1800","X1801","X1802","X1810","X1814","X1817","X1931","X1946","X1949","X1952","X1994","X2007","X2012","X2168","X2301","X2304","X2307","X2309","X2312","X2334","X2349","X2353","X2355","X2359","X2393","X2396","X2397","X2399","X2452","X2482","X2485","X2487","X2493","X2496","X2511","X2544","X2548","X2549","X2558","X2563","X2569","X2571","X2573","X2583","X2588","X2598","X2599","X2623","X2632","X2633","X2636","X2638","X2651","X2660","X2661","X2663","X2672","X2689","X2696","X2697","X2699","X2700","X2701","X2841","X2842","X2885","X2888","X2890","X2899","X2901","X2911","X2912","X2944","X2983","X2996","X3006","X3007","X3090","X3091","X3092","X3100","X3206","X3218","X3223","X3224","X3406","X3437","X3446","X3519","X3520","X3523","X3536","X3657","X3664","X3665","X3667","X3668","X3684","X3690","X3691","X3692","X3693","X3697","X3704","X3710","X3712","X3718","X3731","X3732","X3734","X3738","X3739","X3740","X3741","X3744","X3746","X3747","X3797","X3803","X3805","X3856","X3882","X3890","X3905","X3978","X3979","X3980","X3982","X3999","X4000","X4019","X4034","X4042","X4060","X4079","X4255","X4257","X4267","X4395","X4398","X4420","X4422","X4423","X4424","X4425","X4427","X4436","X4451","X4456","X4459","X4460","X4464","X4475","X4478","X4502","X4503","X4510","X4513","X4514","X4516","X4526","X4527","X4533","X4549","X4554","X4556","X4578","X4579","X4595","X4596","X4605","X4618","X4619","X4620","X4622","X4631","X4633","X4635","X4638","X4639","X4643","X4644","X4648","X4649","X4652","X4654","X4656","X4659","X4661","X4666","X4668","X4670","X4672","X4673","X4675","X4678","X4680","X4683","X4688","X4706","X4707","X4721","X4723","X4725","X4727","X4729","X4730","X4732","X4739","X4741","X4742","X4750","X4752","X4754","X4755","X4756","X4758","X4761","X4764","X4775","X4785","X4849","X4860","X7046","X7050","X7115","X7181","X7192","X7194","X7199","X7202","X7205","X7206","X7209","X7223","X7232","X7718","X7719","X7720","X9461","X9463","X10352","X10355","X10372"
"1",0,4,0,0,16,37,0,2,0,18,1,3,0,1,5,2,8,0,3,0,0,0,0,9,0,2,1,0,0,1,0,0,0,0,0,4,1,4,1,4,0,0,0,1,3,0,1,0,1,0,2,0,0,0,0,0,0,3,0,2,1,1,0,0,0,0,1,0,130,2,24,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,3,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,2,0,0,0,1,6,2,1,2,1,6,0,0,2,1,3,1,0,3,1,17,3,0,1,3,1,2,1,3,4,2,1,1,4,1,1,1,0,11,1,1,0,1,4,1,1,1,1,0,15,3,13,1,3,0,1,1,1,8,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,4,0,0,0,0,0,4,2,1,2,4,1,0,0,6,1,0,0,0,0,0,0,0,0,4,3,2,2,1,1,51,1,0,0,0,0,4,8,1,1,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,0,0,0,0,0,0,0,0,1,1,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,3,1,3,1,1,1,4,1,0,1,0,0,1,1,1,1,2,1,0,3
"2",0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,1,0,0,0,2,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,4,0,3,2,1,1,2,1,1,17,1,2,1,1,0,2,1,1,4,2,2,1,0,0,77,2,4,2,0,0,0,1,6,2,1,2,0,6,0,0,2,1,0,1,2,0,0,0,3,1,1,3,1,2,1,3,4,2,0,1,0,1,1,0,0,0,1,1,0,1,4,1,1,0,1,2,15,3,13,1,3,1,1,1,1,8,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,2,4,2,0,1,3,1,4,0,1,2,4,0,1,2,6,1,1,0,0,13,2,14,0,2,4,0,2,2,1,1,0,1,1,1,3,1,4,8,1,1,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,0,0,0,0,0,0,0,0,8,1,1,1,6,1,0,3,1,0,1,0,1,0,0,1,2,1,2,2,1,2,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,1,1,0,0,0,1,0,0,0,0,0,0,1,2,1,1,3
"3",11,4,13,8,16,37,1,2,5,0,0,3,1,1,5,2,8,0,3,2,0,0,7,0,0,2,0,0,0,1,3,0,4,0,1,4,0,4,0,0,2,1,2,0,0,2,1,1,1,1,2,7,8,0,1,0,1,3,3,2,0,1,6,2,1,1,1,6,130,2,0,1,3,3,8,2,3,2,0,4,4,2,3,0,243,30,3,1,3,1,3,4,0,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,0,2,0,0,2,77,2,4,0,4,0,1,1,6,0,1,0,0,0,33,4,0,1,3,1,2,3,1,17,3,1,0,3,1,2,0,3,4,2,1,1,4,0,1,1,2,0,1,0,7,0,4,1,1,1,1,2,15,3,13,1,3,0,1,1,1,8,0,4,0,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,4,0,4,1,2,4,2,1,0,3,1,4,0,1,2,4,1,1,2,0,0,1,1,0,13,2,14,1,2,4,0,2,2,0,1,0,1,1,1,3,0,4,8,1,1,25,2,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,0,0,0,0,2,0,1,1,1,0,2,1,0,0,0,0,8,1,1,1,6,1,0,0,0,0,0,4,0,2,1,1,2,1,2,2,1,0,1,1,2,1,0,1,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,0,3,1,0,1,1,1,4,1,0,1,8,1,1,1,1,0,2,0,1,3
"4",11,4,13,8,16,37,1,2,5,0,0,3,1,1,5,2,8,0,3,2,0,0,7,0,0,2,0,0,0,1,3,1,4,0,1,4,0,4,0,0,2,1,2,0,3,2,1,1,1,1,2,7,8,0,1,1,1,3,3,2,1,1,6,2,1,1,1,6,0,0,0,1,3,3,8,2,3,2,0,4,4,2,3,2,243,30,3,1,3,1,3,4,0,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,2,2,0,0,2,77,2,4,0,4,0,1,1,6,0,0,2,1,0,33,4,0,1,3,1,2,3,0,0,3,0,1,3,0,2,0,3,4,2,1,1,4,0,1,0,2,0,1,1,7,0,4,1,1,1,1,2,0,0,13,1,3,0,1,1,0,8,0,4,0,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,0,3,4,1,2,4,2,1,0,0,1,4,0,1,2,4,0,0,2,0,0,1,1,2,0,2,14,1,2,0,0,0,0,1,1,51,1,1,1,3,0,4,8,0,1,25,2,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,1,1,1,2,2,0,1,1,1,0,2,1,0,0,0,0,8,1,1,1,6,1,0,3,1,4,1,0,0,0,1,1,2,1,0,2,1,2,1,1,2,1,0,1,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,2,3,1,0,1,1,0,4,1,0,1,8,1,0,0,0,1,2,1,1,3
"5",11,4,13,8,16,37,1,2,5,0,0,3,1,1,5,0,0,0,3,2,0,0,7,9,0,2,0,0,0,1,3,0,0,0,1,4,0,0,1,4,2,0,2,1,3,2,1,1,1,1,2,7,8,1,1,1,1,3,3,2,1,1,6,2,1,1,1,6,0,0,0,1,3,3,8,2,3,2,0,4,4,2,3,2,243,30,0,0,3,1,3,4,0,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,2,2,0,0,2,77,2,4,0,4,0,1,1,0,0,1,2,1,0,33,4,0,1,3,1,2,3,1,17,3,1,1,3,1,2,1,3,0,0,0,0,4,0,1,1,2,0,1,1,7,1,4,1,1,0,0,2,15,3,0,0,3,0,1,1,0,0,0,4,0,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,4,3,4,1,2,4,0,0,1,3,1,4,0,1,2,4,1,1,2,0,0,1,1,2,13,2,0,0,0,0,0,2,2,1,1,51,1,0,1,3,0,4,0,1,0,25,2,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,1,1,1,2,2,4,1,1,1,0,2,1,0,0,1,1,0,1,1,1,6,0,1,3,0,0,1,0,1,2,1,1,2,1,0,2,1,0,1,1,2,1,0,1,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,2,3,1,3,1,1,1,4,1,1,1,8,1,1,1,1,1,2,1,1,3
"6",11,4,13,8,16,37,0,2,5,0,0,3,1,1,5,2,8,0,3,2,0,0,7,9,0,0,0,0,0,1,3,0,4,0,0,4,0,0,1,0,2,0,2,1,0,2,0,1,1,0,2,7,8,1,1,1,1,3,3,2,0,0,6,2,1,1,1,6,0,0,0,1,3,3,8,2,3,2,0,4,4,2,3,2,243,30,0,0,0,1,3,4,4,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,2,2,0,0,2,77,2,4,0,4,0,1,0,6,0,0,2,1,0,33,4,0,1,3,1,2,3,1,17,0,0,1,3,1,2,1,0,0,2,1,0,4,0,0,1,2,0,1,1,7,1,0,0,0,1,1,2,15,3,13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,4,3,0,1,0,4,2,1,1,0,1,0,2,1,0,0,0,1,2,0,1,1,1,2,0,2,14,1,0,4,3,0,2,1,1,51,1,1,0,0,0,0,8,1,1,25,2,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,0,0,1,2,2,4,1,1,1,0,2,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,4,1,2,1,1,2,1,2,2,1,2,1,1,0,1,0,1,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,2,3,0,3,1,1,1,0,1,0,0,8,1,1,1,1,0,0,0,0,3
"7",11,4,13,8,16,37,0,2,5,0,1,3,1,1,5,2,8,0,3,2,0,0,7,9,0,0,0,0,0,1,3,0,0,0,1,4,0,0,1,0,2,0,2,1,0,2,0,1,1,0,2,0,0,1,1,1,1,3,3,2,1,1,6,2,1,1,1,6,0,0,0,1,3,3,8,0,3,2,0,4,4,2,3,2,243,30,0,0,0,1,3,4,4,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,2,2,0,0,2,77,2,4,0,4,0,1,0,6,0,1,2,1,0,33,4,0,1,3,1,2,3,1,17,3,1,1,3,1,2,1,3,4,2,1,1,4,0,1,1,2,11,1,1,7,1,0,1,1,1,1,2,15,3,13,1,3,0,0,1,1,8,0,0,0,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,4,3,4,1,2,0,2,1,0,3,1,4,0,1,0,4,1,1,2,0,0,0,1,2,0,2,14,1,2,4,0,2,2,1,1,51,1,1,0,3,0,0,0,1,1,25,2,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,1,0,1,2,0,4,1,1,1,0,2,1,0,0,1,1,0,1,0,1,0,0,0,3,1,0,1,4,1,2,1,1,2,1,2,2,1,2,1,1,0,1,0,1,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,2,0,0,3,0,1,1,0,1,0,0,8,1,1,1,1,0,0,1,0,3
"8",11,0,13,8,0,0,0,2,5,0,0,3,1,1,0,0,8,0,3,0,0,0,7,0,0,0,0,0,0,0,3,1,4,1,1,4,0,0,1,4,2,1,2,1,0,0,0,1,1,1,2,7,0,1,1,1,1,3,3,2,1,1,6,2,1,1,1,6,0,0,0,1,3,3,8,2,3,2,0,4,4,2,3,2,243,30,0,0,0,1,3,0,4,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,2,2,1,0,2,77,2,4,0,4,0,1,1,6,0,1,2,0,0,33,4,0,0,0,1,2,3,1,17,3,1,1,3,1,0,1,3,4,2,1,1,0,1,1,1,2,11,1,1,7,1,0,1,1,1,1,2,15,3,13,1,3,0,1,1,1,8,1,4,0,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,4,0,0,1,2,4,2,1,1,3,1,4,2,0,2,4,0,1,2,0,0,1,1,2,13,2,14,1,2,4,3,2,2,0,1,51,0,1,1,0,0,4,0,1,1,0,0,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,1,0,0,2,2,4,1,1,1,0,2,1,0,0,1,0,0,0,0,1,6,0,1,3,1,0,0,4,1,0,1,0,2,0,2,2,1,2,0,0,0,1,1,1,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,0,3,0,0,1,1,1,4,1,1,0,8,1,1,1,1,0,2,1,1,3
"9",11,0,13,8,0,37,1,2,5,0,1,3,1,1,5,0,8,1,3,2,0,0,7,9,0,0,0,0,0,1,3,1,4,0,1,4,0,0,1,4,2,1,2,0,0,0,1,1,1,1,2,7,8,1,1,1,1,3,3,2,0,1,6,2,1,1,1,6,0,0,0,0,3,3,8,2,3,2,0,4,4,2,3,2,243,30,0,0,0,1,3,4,4,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,2,2,1,0,2,77,2,4,0,4,0,1,1,6,0,1,2,1,0,33,4,0,1,3,1,2,3,0,17,0,1,1,3,1,2,1,3,4,2,1,1,4,1,1,1,2,11,1,1,7,1,0,1,1,1,1,2,15,3,13,1,3,0,1,1,1,0,0,4,2,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,4,3,4,1,2,4,0,1,1,3,1,4,2,1,2,4,0,1,2,0,0,1,1,2,13,2,14,0,2,4,3,2,2,0,1,51,0,1,1,3,1,4,8,1,0,25,2,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,1,1,1,2,2,0,1,1,1,0,2,1,0,0,1,1,8,1,0,1,6,1,1,0,1,4,0,0,1,0,0,0,0,1,2,2,1,2,1,1,2,1,1,0,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,2,3,0,3,1,1,1,0,0,0,1,8,1,1,0,0,0,0,1,1,3
"10",11,4,13,8,0,37,1,2,5,0,1,3,1,1,5,0,8,1,3,2,0,0,7,9,0,0,0,0,0,1,3,1,0,0,1,4,0,0,1,4,2,1,2,0,0,0,1,1,1,1,2,7,8,0,1,1,1,3,3,2,1,1,6,2,1,1,1,6,0,2,0,1,3,3,8,2,3,2,0,4,4,2,3,2,243,30,0,0,0,1,3,4,4,4,3,0,2,1,1,2,1,1,17,0,2,1,1,0,2,1,0,4,2,2,1,0,2,77,2,4,0,4,0,1,1,6,2,1,2,1,6,33,4,0,1,3,1,2,0,0,17,3,1,1,3,1,2,1,3,4,2,1,1,4,1,1,1,2,11,1,1,7,1,0,0,0,1,1,2,15,3,13,1,0,0,1,1,1,8,1,4,2,0,0,0,0,2,1,1,2,0,8,1,0,7,11,1,4,3,4,1,2,4,2,1,0,3,1,4,2,1,2,0,0,1,2,0,1,1,1,0,13,2,14,1,2,0,3,2,2,0,1,51,0,1,1,0,0,4,8,1,0,25,2,6,3,1,2,0,4,2,2,0,1,0,1,3,1,0,0,1,1,1,2,0,4,1,1,1,0,2,1,0,0,1,1,8,1,0,1,6,1,0,0,0,0,0,4,1,0,0,1,0,1,2,2,1,2,1,1,2,1,1,1,4,1,8,0,1,0,0,2,1,3,1,0,6,1,0,0,0,1,1,3,12,1,1,0,3,2,3,0,3,1,1,1,0,0,0,1,8,1,1,1,1,0,2,1,1,3
