,,,EPISILON,C,D,F,N,T,S,NS,TS,SS,,IGD,C,D,F,N,T,S,NS,TS,SS,
,,,C,0,0.363636364,0.666666667,0.416666667,0.25,0.416666667,0.25,0.166666667,0.416666667,,C,0,0.5,0.5,0.083333333,0.083333333,0.083333333,0,0,0,
,,,D,0.636363636,0,0.75,0.75,0.666666667,0.75,0.666666667,0.454545455,0.666666667,,D,0.5,0,0.416666667,0.083333333,0.083333333,0.083333333,0,0,0,
,,,F,0.333333333,0.25,0,0.416666667,0.416666667,0.416666667,0.25,0.166666667,0.333333333,,F,0.5,0.583333333,0,0.166666667,0.166666667,0.166666667,0,0,0,
,,,N,0.583333333,0.25,0.583333333,0,0.25,0.666666667,0.25,0.166666667,0.583333333,,N,0.916666667,0.916666667,0.833333333,0,0.5,0.75,0.583333333,0.666666667,0.75,
,,,T,0.75,0.333333333,0.583333333,0.75,0,0.75,0.333333333,0.166666667,0.583333333,,T,0.916666667,0.916666667,0.833333333,0.5,0,0.666666667,0.333333333,0.5,0.5,
,,,S,0.583333333,0.25,0.583333333,0.333333333,0.25,0,0.25,0.166666667,0.583333333,,S,0.916666667,0.916666667,0.833333333,0.25,0.333333333,0,0.416666667,0.666666667,0.583333333,
,,,NS,0.75,0.333333333,0.75,0.75,0.666666667,0.75,0,0.166666667,0.833333333,,NS,1,1,1,0.416666667,0.666666667,0.583333333,0,0.416666667,0.75,
,,,TS,0.833333333,0.545454545,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0,0.916666667,,TS,1,1,1,0.333333333,0.5,0.333333333,0.583333333,0,0.583333333,
,,,SS,0.583333333,0.333333333,0.666666667,0.416666667,0.416666667,0.416666667,0.166666667,0.083333333,0,,SS,1,1,1,0.25,0.5,0.416666667,0.25,0.416666667,0,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,HV,C,D,F,N,T,S,NS,TS,SS,,APFDc_mean,C,D,F,N,T,S,NS,TS,SS,
,,,C,0,0.5,0.5,0,0,0,0,0,0,,C,0,0.375,0.625,0.5,0.625,0.375,0.375,0.5,0.5,
,,,D,0.5,0,0.5,0,0,0,0,0,0,,D,0.625,0,0.625,0.625,0.625,0.625,0.625,0.5,0.625,
,,,F,0.5,0.5,0,0,0,0,0,0,0,,F,0.375,0.375,0,0.5,0.5,0.5,0.5,0.5,0.5,
,,,N,1,1,1,0,0.583333333,0.666666667,0.5,0.5,0.666666667,,N,0.5,0.375,0.5,0,0.75,0.625,0.375,0.375,0.5,
,,,T,1,1,1,0.416666667,0,0.5,0.25,0.333333333,0.416666667,,T,0.375,0.375,0.5,0.25,0,0.5,0.125,0.125,0.125,
,,,S,1,1,1,0.333333333,0.5,0,0.333333333,0.583333333,0.5,,S,0.625,0.375,0.5,0.375,0.5,0,0.25,0.25,0.25,
,,,NS,1,1,1,0.5,0.75,0.666666667,0,0.416666667,0.75,,NS,0.625,0.375,0.5,0.625,0.875,0.75,0,0.25,0.5,
,,,TS,1,1,1,0.5,0.666666667,0.416666667,0.583333333,0,0.5,,TS,0.5,0.5,0.5,0.625,0.875,0.75,0.75,0,0.75,
,,,SS,1,1,1,0.333333333,0.583333333,0.5,0.25,0.5,0,,SS,0.5,0.375,0.5,0.5,0.875,0.75,0.5,0.25,0,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,greedy,vs,MOEA,,,,,,,,MOEA,vs,hybrid,,,,,,,,,
